abreviation,description
abs,abraço
add,adicionar
agr,agora
akela,aquela
akele,aquele
aki,aqui
akilo,aquilo
algm,alguém
aq,aqui
axu,acho
bj,beijo
bjo,beijo
blz,beleza
c,se
cmg,comigo
ctg,contigo
ctz,certeza
d,de
dnv, de novo
dik,dica
dpois,depois
dps,depois
dsd,desde
enqto,enquanto
entaum,então
fessora,professora
fik,fica
fla,fala
fmz,firmeza
hj,hoje
hr,hora
hrs,horas
img,imagem
kb,cabe
kd,cadê
ki,que
ksa,casa
mlk,moleque
mlq,moleque
msg,mensagem
msm,mesmo
mt,muito
mto,muito
muie,mulher
n,não
naum,não
niver,aniversário
obs,observação
pc,computador
pq,porque
pra,para
q,que
qd,quando
qdo,quando
qt,quanto
qto,quanto
qts,quantos
rs,risos
tb,também
tbm,também
tc,teclar
td,tudo
tds,todos
to,estou
tou,estou
vc,você
vcs,vocês
vlw,valeu
vdd,verdade
sqn,so que nao
sdds,saudades
plmdds,pelo amor de Deus
pfv,por favor
pfvr,por favor
glr,galera
fznd,fazendo